Pessoa;P1;P2;P3;P4;P5;P6;P7;P8;P9;Sexo;Idade;Região;Classe Social
109;Baixo;Baixo;Adicionar contatos;10 (Instalaria com certeza);Se possui animais de estimação;Menos de 5;Até R$ 1.448;Me sinto extremamente desconfortável;Pesquisas de mercado em campo para nossas empresas parceiras;Masculino;24;Sul;D
110;Justo;Justo;Compartilhar link de oferta;10 (Instalaria com certeza);Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc);De 5 a 11;Até R$ 1.448;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;34;Norte;D
111;Baixo;Baixo;O aplicativo enviar ofertas aos meus contatos;5;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Se possui smartphone?  ; Se possui casa própria ou se é alugada ; Sobre a profissão que exerce ; Se gosta de ir em shows ; Se gosta de viajar e com que frequência ; Se o celular é pós pago ou pré pago";De 11 a 20;Até R$ 3.620;Me sinto extremamente desconfortável;Pesquisas de mercado em campo para nossas empresas parceiras;Masculino;44;Sudeste;C
112;Justo;Justo;Adicionar contatos;9;Se tem intenção de comprar algum produto específico (um IPhone por exemplo);De 21 a 30;Não possuo;Me sinto extremamente confortável;Pesquisas de mercado em campo para nossas empresas parceiras;Masculino;17;Sudeste;D
113;Baixo;Justo;Adicionar contatos;8;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Menos de 5;Até R$ 724;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Fazer entregas com o seu veículo ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;39;Sudeste;E
114;Alto;Alto;Ter parte do meu dinheiro de volta (caso eu mesmo compre);9;"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Sobre a sua operadora de telefonia (Claro, Vivo e etc)";De 21 a 30;Até R$ 3.620;Me sinto um pouco confortável;"Vendas presenciais ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;38;Sudeste;C
115;Baixo;Baixo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);7;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Até R$ 2.172;Me sinto extremamente desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Masculino;48;Sudeste;C
116;Justo;Baixo;Adicionar contatos;10 (Instalaria com certeza);Características do veículo (marca, ano e etc);Menos de 5;Não possuo;Me sinto extremamente desconfortável;Vendas via rede social (compartilhando links de ofertas);Masculino;16;Sudeste;E
117;Justo;Baixo;O aplicativo enviar ofertas aos meus contatos;10 (Instalaria com certeza);"Aniversário e outras datas festivas (Casamento por exemplo) ; Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone?  ; Sobre a profissão que exerce ; Se gosta de ir em shows ; Se gosta de viajar e com que frequência";Mais de 50;Até R$ 3.620;Não sei se sinto confortável ou desconfortável;"Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;32;Sul;C
118;Justo;Justo;Compartilhar link de oferta;7;"Se possui animais de estimação ; Se possui smartphone?  ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se gosta de ir em shows";De 21 a 30;Não possuo;Me sinto um pouco desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Pesquisas de mercado em campo para nossas empresas parceiras";Masculino;41;Nordeste;D
119;Justo;Baixo;Responder perguntas sobre os meus contatos;5;"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Aniversário e outras datas festivas (Casamento por exemplo)";De 5 a 11;Não possuo;Não sei se sinto confortável ou desconfortável;Vendas via rede social (compartilhando links de ofertas);Masculino;21;Norte;E
120;Justo;Baixo;O aplicativo enviar ofertas aos meus contatos;8;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 31 a 40;Até R$ 1.448;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;19;Nordeste;E
121;Baixo;Baixo;Vender presencialmente;7;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Se possui casa própria ou se é alugada ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc)";De 11 a 20;Não possuo;Não sei se sinto confortável ou desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;16;Sul;C
122;Justo;Justo;Vender presencialmente;10 (Instalaria com certeza);"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo) ; Eu não responderia à nenhuma destas questões";Mais de 50;Até R$ 1.448;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;35;Norte;C
123;Justo;Justo;Compartilhar link de oferta;8;"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre a profissão que exerce ; Se gosta de ir em shows ; Se tem plano de saúde ; Se gosta de viajar e com que frequência ; Se o celular é pós pago ou pré pago ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 31 a 40;Até R$ 724;Não sei se sinto confortável ou desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras";Masculino;24;Nordeste;E
124;Justo;Justo;Vender presencialmente;10 (Instalaria com certeza);"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Se os filhos estudam em colégio particular ; Se faz academia ou pratica esportes de modo geral ; Se o celular é pós pago ou pré pago ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 31 a 40;Até R$ 1.448;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;41;Norte;D
125;Justo;Justo;Outros: poderia acrescentar mais alguma coisa;10 (Instalaria com certeza);"Aniversário e outras datas festivas (Casamento por exemplo) ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui smartphone?  ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc)";De 21 a 30;Acima de R$ 7.240;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;50;Sul;B
126;Justo;Justo;Responder perguntas sobre os meus contatos;10 (Instalaria com certeza);"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc)";De 11 a 20;Até R$ 2.172;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;34;Sudeste;C
127;Baixo;Baixo;Vender presencialmente;3;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Se possui smartphone?  ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc)";Mais de 50;Não possuo;Me sinto extremamente desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Masculino;25;Sudeste;E
128;Justo;Baixo;Adicionar contatos;7;"Características do veículo (marca, ano e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone?  ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se faz academia ou pratica esportes de modo geral";De 41 a 50;Até R$ 1.448;Me sinto um pouco desconfortável;"Vendas presenciais ; Pesquisas de mercado em campo para nossas empresas parceiras";Masculino;35;Nordeste;D
129;Baixo;Justo;Vender presencialmente;10 (Instalaria com certeza);"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Não possuo;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais";Masculino;31;Sudeste;E
130;Justo;Baixo;Compartilhar link de oferta;7;"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 5 a 11;Até R$ 724;Me sinto um pouco confortável;Vendas via rede social (compartilhando links de ofertas);Masculino;16;Norte;E
131;Justo;Justo;Responder perguntas sobre os meus contatos;5;Se costuma comprar parcelado ou à vista?;Menos de 5;Até R$ 724;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;29;Norte;E
132;Baixo;Baixo;Adicionar contatos;0 (Nenhuma chance);Características do veículo (marca, ano e etc);Menos de 5;Não possuo;Me sinto extremamente desconfortável;Vendas via rede social (compartilhando links de ofertas);Masculino;30;Sudeste;E
133;Justo;Baixo;Adicionar contatos;8;Eu não responderia à nenhuma destas questões;Menos de 5;Não possuo;Não sei se sinto confortável ou desconfortável;Pesquisas de mercado em campo para nossas empresas parceiras;Masculino;16;Centro-Oeste;E
134;Baixo;Baixo;Compartilhar link de oferta;7;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 31 a 40;Não possuo;Me sinto um pouco confortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Masculino;24;Sul;B
135;Justo;Justo;Vender presencialmente;10 (Instalaria com certeza);"Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se gosta de ir em shows ; Sobre a sua operadora de telefonia (Claro, Vivo e etc)";De 11 a 20;Até R$ 1.448;Me sinto extremamente confortável;Pesquisas de mercado em campo para nossas empresas parceiras;Masculino;23;Centro-Oeste;E
136;Baixo;Baixo;Adicionar contatos;8;"Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone?  ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc)";De 31 a 40;Não possuo;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;32;Nordeste;C
137;Baixo;Baixo;Compartilhar link de oferta;3;"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se gosta de ir em shows";De 41 a 50;Não possuo;Me sinto um pouco desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Masculino;21;Sul;D
138;Justo;Baixo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);8;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc)";De 5 a 11;Até R$ 724;Me sinto um pouco desconfortável;"Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;21;Nordeste;E
139;Justo;Justo;Responder perguntas sobre os meus contatos;10 (Instalaria com certeza);"Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui smartphone?  ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui casa própria ou se é alugada ; Se gosta de viajar e com que frequência ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc)";De 21 a 30;Até R$ 724;Me sinto extremamente confortável;Fazer entregas com o seu veículo;Masculino;75;Nordeste;E
140;Justo;Baixo;Responder perguntas sobre os meus contatos;10 (Instalaria com certeza);Se possui animais de estimação;De 11 a 20;Até R$ 3.620;Me sinto um pouco desconfortável;Vendas presenciais;Masculino;25;Sudeste;C
141;Justo;Justo;O aplicativo enviar ofertas aos meus contatos;5;"Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone? ";Menos de 5;Até R$ 1.448;Me sinto um pouco desconfortável;"Vendas presenciais ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;42;Sudeste;D
142;Justo;Justo;O aplicativo enviar ofertas aos meus contatos;8;"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui casa própria ou se é alugada ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Menos de 5;Até R$ 3.620;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras";Masculino;42;Nordeste;B
143;Justo;Baixo;Responder perguntas sobre os meus contatos;8;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se faz academia ou pratica esportes de modo geral ; Se gosta de viajar e com que frequência";Menos de 5;Não possuo;Me sinto extremamente desconfortável;Fazer entregas com o seu veículo;Masculino;17;Sudeste;C
144;Justo;Baixo;Responder perguntas sobre os meus contatos;7;"Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone?  ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos";De 21 a 30;Até R$ 2.172;Me sinto um pouco desconfortável;"Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;42;Sudeste;C
145;Baixo;Justo;Vender presencialmente;5;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 5 a 11;Até R$ 1.448;Me sinto um pouco desconfortável;"Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;19;Nordeste;D
146;Baixo;Justo;Adicionar contatos;7;"Características do veículo (marca, ano e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Até R$ 7.240;Não sei se sinto confortável ou desconfortável;"Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;32;Nordeste;B
147;Baixo;Baixo;Responder perguntas sobre os meus contatos;7;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Informações sociais como sexo, idade, estado civil por exemplo ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc)";Mais de 50;Até R$ 1.448;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;22;Nordeste;E
148;Justo;Baixo;Vender presencialmente;7;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se gosta de ir em shows ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc)";De 5 a 11;Até R$ 1.448;Me sinto um pouco desconfortável;"Fazer entregas com o seu veículo ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;28;Nordeste;E
